,モニターID.11桁.,居住都道府県.参考.,居住エリア,年齢.5才刻み.,年齢.10才刻み.,世代,性別,性年代,メディアターゲット区分,未既婚,職業,職業.詳細.,職種,仕事環境,個人年収,X1ヶ月平均小遣い,最終学歴,家族人数,家族構成,世帯年収,家屋形態,生協加入有無,配偶者の同居有無,同居配偶者年齢.5才刻み.,同居配偶者年齢.10才刻み.,同居配偶者職業,末子年齢,家族人員.17才以下男子.,家族人員.17才以下女子.,家族人員.0.2才.乳児..,家族人員.3.5才.就学前児童..,家族人員.6.11才.小学生..,家族人員.12.14才.中学生..,家族人員.15.17才.高校生..,家族人員.65才以上.,自動車.自家用車保有.有無,同居子供人数.17才以下.,同居子供人数.14才以下.
24210,50001225258,11,4,6,4,5,2,10,3,1,6,11,12,7,10,1,4,4,3,3,5,1,1,5,3,4,4,1,2,2,2,1,2,2,2,1,3,3
24211,50001341933,13,4,10,6,3,1,6,7,1,8,16,12,7,10,1,2,2,2,1,1,2,1,8,4,11,1,2,2,2,2,2,2,2,2,1,1,1
24212,50001262729,14,4,5,3,6,1,3,6,1,1,4,9,4,2,2,2,3,3,1,3,2,1,4,2,11,3,1,2,2,1,2,2,2,2,2,2,2
24213,50000705283,11,4,7,4,4,1,4,6,1,1,4,9,4,6,2,2,6,4,3,1,2,1,5,3,9,5,1,2,2,2,1,1,2,1,1,3,3
24214,50001146433,11,4,10,6,3,1,6,7,2,1,1,1,1,9,5,6,2,3,5,1,2,3,10,6,14,1,2,2,2,2,2,2,2,1,1,1,1
24215,50001211603,13,4,8,5,4,2,11,4,1,5,9,9,4,1,2,5,5,3,5,1,2,1,7,4,3,6,1,1,2,2,2,1,1,2,1,3,2
24216,50001225861,14,4,7,4,4,1,4,6,1,1,3,2,1,9,6,2,2,2,4,2,2,1,6,3,9,1,2,2,2,2,2,2,2,2,1,1,1
24217,50000554407,19,3,3,2,7,2,8,2,2,3,5,1,1,3,3,6,1,1,1,2,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24218,50001134503,11,4,7,4,4,1,4,6,1,1,4,9,4,3,3,2,2,2,1,3,2,1,6,3,9,1,2,2,2,2,2,2,2,2,2,1,1
24219,50000585428,14,4,4,3,6,2,9,2,1,2,2,9,4,1,2,5,4,3,5,3,2,1,4,2,4,3,1,2,2,1,1,2,2,2,1,3,3
24220,50000950489,12,4,8,5,4,1,5,7,1,1,1,3,4,7,4,4,5,3,4,1,2,1,5,3,9,4,1,1,2,2,1,2,2,2,1,4,4
24221,50001321595,11,4,4,3,6,2,9,2,1,6,11,12,7,10,2,1,3,3,3,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2
24222,50001332971,12,4,4,3,6,2,9,2,1,8,16,12,7,10,2,4,3,3,1,2,1,1,3,2,4,3,2,1,2,1,2,2,2,2,1,2,2
24223,50001052827,13,4,5,3,6,2,9,3,1,6,11,12,7,10,6,5,4,3,2,1,1,1,6,3,3,2,1,1,1,2,1,2,2,2,1,3,3
24224,50001244682,28,7,5,3,6,1,3,6,1,1,4,1,1,6,4,6,4,3,3,3,2,1,4,2,5,4,2,1,2,2,1,2,2,2,2,3,3
24225,50001266353,13,4,8,5,4,1,5,7,2,8,16,12,7,10,1,1,3,5,1,1,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24226,50001302967,8,3,4,3,6,2,9,2,1,5,9,7,2,2,3,4,2,2,2,3,2,1,3,2,4,1,2,2,2,2,2,2,2,2,1,1,1
24227,50001346060,14,4,1,1,8,1,1,1,2,7,12,12,7,10,2,8,4,3,2,3,2,3,10,6,14,7,2,1,2,2,2,2,1,2,2,2,1
24228,50001041229,9,3,5,3,6,1,3,6,2,2,2,6,2,6,3,7,1,1,2,1,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
24229,50000983945,13,4,8,5,4,2,11,4,2,1,3,1,1,7,7,4,1,1,3,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24230,50000719797,14,4,4,3,6,2,9,2,1,6,11,12,7,10,2,2,3,3,1,2,1,1,3,2,5,3,1,2,2,1,2,2,2,2,2,2,2
24231,50001245155,12,4,9,5,3,1,5,7,1,1,4,1,1,7,4,4,2,2,5,3,2,1,8,4,4,1,2,2,2,2,2,2,2,2,1,1,1
24232,50001318790,10,3,6,4,5,2,10,3,1,5,9,1,1,2,3,2,4,3,4,1,1,1,5,3,3,5,1,2,2,2,1,2,2,2,1,3,3
24233,50001189573,13,4,8,5,4,1,5,7,1,1,6,3,1,9,4,7,4,3,5,3,1,1,6,3,9,6,2,1,2,2,2,1,2,2,1,2,2
24234,50000271712,13,4,9,5,3,1,5,7,1,1,4,2,3,5,6,4,2,2,5,1,2,1,8,4,4,1,2,2,2,2,2,2,2,2,1,1,1
24235,50000490631,13,4,9,5,3,1,5,7,1,1,4,3,1,6,3,6,3,3,3,1,2,1,6,3,11,7,1,2,2,2,2,2,1,2,1,2,1
24236,50000481210,12,4,5,3,6,1,3,6,2,1,4,9,2,10,10,6,2,3,6,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
24237,50000874362,8,3,4,3,6,1,3,5,2,1,4,9,2,3,10,2,3,4,2,1,2,3,10,6,14,1,2,2,2,2,2,2,2,1,1,1,1
24238,50001122498,12,4,7,4,4,2,10,3,1,2,2,1,2,3,7,6,4,3,5,1,1,1,6,3,3,1,2,2,2,2,2,2,2,2,1,1,1
